Model,Avg_AUROC,Avg_AUPRC,Avg_F4,FinalDay_Morning_AUROC,FinalDay_Morning_AUPRC,FinalDay_Morning_F4,FinalDay_Rest_AUROC,FinalDay_Rest_AUPRC,FinalDay_Rest_F4
Transformer+OCSVM,0.9869753683662275,0.977898686805169,0.9718485923865261,1.0,1.0,0.9941920077094596,1.0,1.0,0.9525892505421414
PRAE,0.9982195517107039,0.9899783565270016,0.001829660719156569,1.0,1.0,0.9999768867306721,0.9983076399735294,0.9901495552092827,0.001233697346061544
PNN,0.7516529708927507,0.7276670995107386,0.2850673940726114,1.0,1.0000000000000002,0.9987834211077904,0.9954998918849386,0.976584410324462,0.571620015127725
